comunidad_code,total
1.0,2.5475
2.0,2.39
3.0,2.21
4.0,2.6575
5.0,2.6075
6.0,2.39
7.0,2.255
9.0,2.54
10.0,2.475
11.0,2.3675
12.0,2.4
13.0,2.6025
14.0,2.74
15.0,2.5275
16.0,2.3475
17.0,2.36
18.0,3.14
19.0,3.1950000000000003
