comunidad_code,total
1.0,2.55
2.0,2.39
3.0,2.2125
4.0,2.645
5.0,2.6
6.0,2.3925
7.0,2.255
9.0,2.53
10.0,2.4625
11.0,2.37
12.0,2.4025
13.0,2.5825
14.0,2.745
15.0,2.5225
16.0,2.3449999999999998
17.0,2.3625
18.0,3.1475
19.0,3.2
