comunidad_code,total
1.0,2.565
2.0,2.3925
3.0,2.22
4.0,2.635
5.0,2.605
6.0,2.4025
7.0,2.2675
9.0,2.53
10.0,2.46
11.0,2.39
12.0,2.4175
13.0,2.5875
14.0,2.7575
15.0,2.53
16.0,2.35
17.0,2.3725
18.0,3.175
19.0,3.225
