comunidad_code,total
1.0,2.5875
2.0,2.415
3.0,2.2375
4.0,2.645
5.0,2.6275
6.0,2.4225000000000003
7.0,2.2925
9.0,2.5549999999999997
10.0,2.4775
11.0,2.4175
12.0,2.4425
13.0,2.605
14.0,2.775
15.0,2.545
16.0,2.375
17.0,2.39
18.0,3.2225
19.0,3.3
