date;hicp_index;hicp_rate
2000-01;75.13;
2000-02;75.37;0.0031944629309199613
2000-03;75.6;0.0030516120472334762
2000-04;75.67;0.0009259259259259967
2000-05;75.76;0.001189374917404562
2000-06;76.04;0.0036958817317847004
2000-07;76.14;0.0013150973172013636
2000-08;76.2;0.0007880220646179215
2000-09;76.5;0.003937007874015741
2000-10;76.52;0.0002614379084966423
2000-11;76.68;0.002090956612650352
2000-12;76.96;0.003651538862806225
2001-01;76.63;-0.004287941787941785
2001-02;76.86;0.003001435469137448
2001-03;77.27;0.005334374186833246
2001-04;77.73;0.005953151287692693
2001-05;78.1;0.00476006689823727
2001-06;78.21;0.0014084507042253502
2001-07;78.03;-0.0023014959723819395
2001-08;77.97;-0.0007689350249904248
2001-09;78.18;0.0026933435936900008
2001-10;78.24;0.0007674597083651147
2001-11;78.19;-0.0006390593047034265
2001-12;78.54;0.004476275738585667
2002-01;78.63;0.0011459129106186072
2002-02;78.76;0.001653312984865929
2002-03;79.21;0.0057135601828337546
2002-04;79.56;0.004418634010857403
2002-05;79.71;0.0018853695324283493
2002-06;79.67;-0.0005018190942164269
2002-07;79.59;-0.0010041420861051087
2002-08;79.64;0.0006282196255811279
2002-09;79.84;0.0025113008538424353
2002-10;80.03;0.002379759519038016
2002-11;79.97;-0.0007497188554292933
2002-12;80.36;0.00487682881080409
2003-01;80.3;-0.0007466401194624606
2003-02;80.62;0.003985056039850665
2003-03;81.08;0.005705780203423494
2003-04;81.21;0.0016033547113960545
2003-05;81.15;-0.0007388252678239837
2003-06;81.25;0.0012322858903264233
2003-07;81.13;-0.0014769230769231534
2003-08;81.25;0.0014791076050784113
2003-09;81.54;0.003569230769230769
2003-10;81.66;0.0014716703458423908
2003-11;81.7;0.0004898359049718692
2003-12;81.95;0.003059975520195879
2004-01;81.75;-0.0024405125076266687
2004-02;81.94;0.002324159021406702
2004-03;82.46;0.006346106907493265
2004-04;82.88;0.005093378607809784
2004-05;83.14;0.003137065637065728
2004-06;83.18;0.00048111618955992697
2004-07;83.0;-0.0021639817263766625
2004-08;83.17;0.0020481927710842562
2004-09;83.26;0.0010821209570759383
2004-10;83.59;0.003963487869324878
2004-11;83.53;-0.0007177892092355975
2004-12;83.85;0.003830958936908768
2005-01;83.32;-0.006320810971973789
2005-02;83.62;0.003600576092174901
2005-03;84.25;0.007534082755321636
2005-04;84.6;0.004154302670623
2005-05;84.78;0.0021276595744681437
2005-06;84.87;0.0010615711252655036
2005-07;84.78;-0.0010604453870626251
2005-08;84.98;0.0023590469450343043
2005-09;85.42;0.005177688867968877
2005-10;85.64;0.0025755092484196496
2005-11;85.45;-0.0022185894441849596
2005-12;85.74;0.0033937975424223055
2006-01;85.35;-0.004548635409377222
2006-02;85.59;0.002811950790861273
2006-03;86.09;0.005841803949059532
2006-04;86.66;0.006620978046230519
2006-05;86.89;0.002654050311562406
2006-06;86.96;0.0008056162964666935
2006-07;86.85;-0.0012649494020239294
2006-08;86.93;0.0009211283822683214
2006-09;86.93;0.0
2006-10;87.0;0.0008052455999079111
2006-11;87.03;0.00034482758620701937
2006-12;87.37;0.003906698839480693
2007-01;86.92;-0.005150509328144759
2007-02;87.17;0.0028762080073629903
2007-03;87.75;0.006653665251806773
2007-04;88.31;0.006381766381766463
2007-05;88.52;0.0023779866379798342
2007-06;88.61;0.0010167193854495604
2007-07;88.39;-0.0024827897528495457
2007-08;88.45;0.000678809820115367
2007-09;88.78;0.003730921424533573
2007-10;89.21;0.004843433205676817
2007-11;89.69;0.005380562717184123
2007-12;90.05;0.004013825398595072
2008-01;89.7;-0.0038867295946695135
2008-02;90.02;0.0035674470457078833
2008-03;90.9;0.00977560542101763
2008-04;91.19;0.003190319031903144
2008-05;91.76;0.006250685382169108
2008-06;92.11;0.0038142981691369204
2008-07;91.97;-0.0015199218325914199
2008-08;91.84;-0.0014135044036098776
2008-09;92.01;0.0018510452961673085
2008-10;92.04;0.0003260515161396249
2008-11;91.59;-0.004889178617992207
2008-12;91.47;-0.0013101867016049873
2009-01;90.71;-0.008308735104405884
2009-02;91.08;0.004078932862970008
2009-03;91.42;0.003732981993851636
2009-04;91.75;0.0036097134106323203
2009-05;91.8;0.0005449591280652921
2009-06;91.98;0.0019607843137254832
2009-07;91.38;-0.006523157208088826
2009-08;91.69;0.003392427226964312
2009-09;91.71;0.00021812629512485415
2009-10;91.92;0.0022898266274125056
2009-11;92.03;0.0011966927763271684
2009-12;92.32;0.003151146365315549
2010-01;91.57;-0.008123916811091814
2010-02;91.85;0.003057770012012684
2010-03;92.87;0.011105062602068783
2010-04;93.25;0.004091741143533945
2010-05;93.35;0.0010723860589811895
2010-06;93.35;0.0
2010-07;92.95;-0.00428494911622912
2010-08;93.14;0.002044109736417443
2010-09;93.43;0.0031135924414860128
2010-10;93.71;0.0029968960719253257
2010-11;93.79;0.0008536975776332056
2010-12;94.36;0.006077406973024724
2011-01;93.68;-0.007206443408223739
2011-02;94.08;0.004269854824935804
2011-03;95.35;0.013499149659863985
2011-04;95.88;0.005558468799160998
2011-05;95.89;0.00010429703796410728
2011-06;95.88;-0.0001042861612264856
2011-07;95.33;-0.005736337088026677
2011-08;95.51;0.0018881779083186334
2011-09;96.21;0.007329075489477477
2011-10;96.55;0.00353393618127007
2011-11;96.63;0.0008285862247539022
2011-12;96.96;0.0034150884818380245
2012-01;96.17;-0.00814768976897684
2012-02;96.65;0.004991161484870554
2012-03;97.9;0.012933264355923457
2012-04;98.36;0.004698672114402447
2012-05;98.22;-0.0014233428222855116
2012-06;98.15;-0.0007126858073711606
2012-07;97.63;-0.005298013245033206
2012-08;98.01;0.0038922462357882104
2012-09;98.72;0.007244158759310171
2012-10;98.95;0.0023298217179903435
2012-11;98.76;-0.0019201616978271607
2012-12;99.11;0.0035439449169702986
2013-01;98.08;-0.01039249318938551
2013-02;98.44;0.0036704730831973453
2013-03;99.6;0.011783827712312123
2013-04;99.51;-0.0009036144578312699
2013-05;99.62;0.0011054165410511185
2013-06;99.73;0.0011041959445894367
2013-07;99.2;-0.005314348741602304
