year,codigo_aeat,population,renta_bruta_total,renta_disponible_total,renta_disponible_per_capita,mun_code,NOMBRE,CODAUTO,EV0,I_salud,I_educ,I_ingresos
2013,280,1426.0,7097990.6165714,6306837.5665714,4422.747241634923,4001,Abla,01,82.29,0.9583076923076924,0.24613368283093054,0.03374161502864213
2013,281,1262.0,7077119.8142856,6418779.4642857,5086.196088974405,4002,Abrucena,01,82.29,0.9583076923076924,0.24613368283093054,0.04163330033931167
2013,282,24782.0,141905598.915505,122983902.845506,4962.630249596723,4003,Adra,01,82.29,0.9583076923076924,0.24613368283093054,0.040163491892996846
2013,285,11715.0,70457128.8719001,60324537.1419012,5149.34162542904,4006,Albox,01,82.29,0.9583076923076924,0.24613368283093054,0.04238441280935625
2013,290,3753.0,21785679.8871427,19110433.7171427,5092.042024285292,4011,Alhama de Almería,01,82.29,0.9583076923076924,0.24613368283093054,0.04170283739858166
2013,292,193351.0,1841056273.29084,1516587373.72109,7843.700698321137,4013,Almería,01,82.29,0.9583076923076924,0.24613368283093054,0.07443365669979232
2013,295,3161.0,20014588.9371427,17358693.7271427,5491.519685904049,4016,Antas,01,82.29,0.9583076923076924,0.24613368283093054,0.046454600864264825
2013,296,4698.0,16831979.7866665,15259331.6566665,3248.0484582091317,4017,Arboleas,01,82.29,0.9583076923076924,0.24613368283093054,0.019768641572138243
2013,303,4220.0,28837784.5514283,24942493.1014283,5910.543388964053,4024,Benahadux,01,82.29,0.9583076923076924,0.24613368283093054,0.05143886335190302
2013,307,15323.0,84593166.8556114,73500525.9256124,4796.745149488508,4029,Berja,01,82.29,0.9583076923076924,0.24613368283093054,0.038190298310654125
2013,308,1365.0,6098843.6390476,5495174.2490476,4025.768680620952,4030,Canjáyar,01,82.29,0.9583076923076924,0.24613368283093054,0.029019578218769385
2013,309,3617.0,17994664.0085713,15742548.4585713,4352.377234882859,4031,Cantoria,01,82.29,0.9583076923076924,0.24613368283093054,0.03290456790613381
2013,310,7852.0,63071069.0914253,52762491.1614266,6719.624447456265,4032,Carboneras,01,82.29,0.9583076923076924,0.24613368283093054,0.0610628353130402
2013,313,13737.0,84067265.5787542,72617583.8987553,5286.276763394868,4035,Cuevas del Almanzora,01,82.29,0.9583076923076924,0.24613368283093054,0.04401324828195218
