CODAUTO,year,EV0,I_salud
01,1991,76.12,0.8633846153846154
01,1992,76.68,0.8720000000000001
01,1993,76.66,0.8716923076923077
01,1994,77.09,0.8783076923076923
01,1995,77.11,0.8786153846153846
01,1996,77.3,0.8815384615384615
01,1997,77.75,0.8884615384615384
01,1998,77.62,0.8864615384615385
01,1999,77.66,0.887076923076923
01,2000,78.29,0.8967692307692309
01,2001,78.65,0.9023076923076924
01,2002,78.68,0.9027692307692309
01,2003,78.53,0.9004615384615384
01,2004,79.12,0.9095384615384616
01,2005,79.12,0.9095384615384616
01,2006,79.97,0.9226153846153846
01,2007,80.03,0.9235384615384615
01,2008,80.34,0.9283076923076924
01,2009,80.79,0.9352307692307693
01,2010,81.36,0.944
01,2011,81.5,0.9461538461538461
01,2012,81.46,0.9455384615384614
01,2013,82.29,0.9583076923076924
01,2014,82.55,0.9623076923076923
01,2015,82.05,0.9546153846153845
01,2016,82.77,0.9656923076923076
01,2017,82.64,0.9636923076923077
01,2018,82.59,0.962923076923077
01,2019,83.31,0.9740000000000001
01,2020,82.35,0.9592307692307691
01,2021,82.34,0.9590769230769232
01,2022,82.85,0.9669230769230769
01,2023,83.76,0.980923076923077
02,1991,78.53,0.9004615384615384
02,1992,79.39,0.9136923076923077
02,1993,79.07,0.9087692307692307
02,1994,79.43,0.9143076923076924
02,1995,79.25,0.9115384615384615
02,1996,79.57,0.9164615384615383
02,1997,79.65,0.9176923076923078
02,1998,79.93,0.9220000000000002
02,1999,79.54,0.9160000000000001
02,2000,80.59,0.9321538461538462
02,2001,80.9,0.936923076923077
02,2002,81.01,0.9386153846153847
02,2003,80.7,0.9338461538461539
02,2004,81.13,0.9404615384615383
02,2005,81.25,0.9423076923076923
02,2006,82.29,0.9583076923076924
02,2007,82.32,0.9587692307692307
02,2008,82.77,0.9656923076923076
02,2009,82.96,0.9686153846153845
02,2010,83.37,0.974923076923077
02,2011,83.59,0.9783076923076923
02,2012,83.82,0.9818461538461537
02,2013,84.39,0.9906153846153847
02,2014,84.27,0.9887692307692307
02,2015,84.09,0.9860000000000001
02,2016,84.98,0.9996923076923078
02,2017,84.64,0.9944615384615385
02,2018,85.21,1.0
02,2019,85.78,1.0
02,2020,83.63,0.9789230769230769
02,2021,84.95,0.9992307692307693
02,2022,84.55,0.9930769230769231
02,2023,86.12,1.0
03,1991,76.55,0.87
03,1992,77.18,0.8796923076923078
03,1993,77.02,0.8772307692307691
03,1994,77.7,0.8876923076923078
03,1995,77.47,0.8841538461538462
03,1996,77.63,0.8866153846153846
03,1997,78.46,0.8993846153846153
03,1998,78.5,0.9
03,1999,78.45,0.8992307692307693
03,2000,79.0,0.9076923076923077
03,2001,79.83,0.9204615384615384
03,2002,79.8,0.9199999999999999
03,2003,79.41,0.9139999999999999
03,2004,80.16,0.9255384615384615
03,2005,80.23,0.9266153846153847
03,2006,80.66,0.9332307692307692
03,2007,80.83,0.9358461538461538
03,2008,81.26,0.9424615384615386
03,2009,81.69,0.949076923076923
03,2010,81.84,0.9513846153846154
03,2011,82.19,0.9567692307692307
03,2012,82.17,0.9564615384615385
03,2013,83.06,0.9701538461538461
03,2014,83.04,0.9698461538461539
03,2015,83.15,0.9715384615384616
03,2016,83.42,0.9756923076923077
03,2017,83.7,0.9800000000000001
03,2018,83.93,0.9835384615384617
03,2019,84.36,0.9901538461538462
03,2020,83.07,0.9703076923076922
03,2021,84.07,0.9856923076923075
03,2022,83.81,0.9816923076923078
03,2023,84.68,0.9950769230769232
04,1991,76.15,0.8638461538461539
04,1992,76.8,0.8738461538461538
04,1993,77.01,0.8770769230769232
04,1994,77.84,0.889846153846154
04,1995,77.62,0.8864615384615385
04,1996,77.96,0.8916923076923076
04,1997,78.42,0.8987692307692308
04,1998,78.69,0.9029230769230769
04,1999,78.33,0.8973846153846153
04,2000,78.62,0.901846153846154
04,2001,79.53,0.9158461538461539
04,2002,79.95,0.9223076923076924
04,2003,80.06,0.924
04,2004,80.95,0.9376923076923077
04,2005,80.8,0.9353846153846154
04,2006,81.43,0.9450769230769231
04,2007,81.92,0.9526153846153846
04,2008,82.07,0.9549230769230768
04,2009,82.05,0.9546153846153845
04,2010,82.6,0.9630769230769229
04,2011,82.84,0.9667692307692308
04,2012,82.76,0.9655384615384616
04,2013,83.81,0.9816923076923078
04,2014,83.78,0.9812307692307692
04,2015,83.35,0.9746153846153846
04,2016,84.28,0.9889230769230769
04,2017,83.94,0.9836923076923076
04,2018,84.23,0.9881538461538462
04,2019,84.88,0.9981538461538461
04,2020,84.49,0.992153846153846
04,2021,84.58,0.9935384615384615
04,2022,84.27,0.9887692307692307
04,2023,85.74,1.0
05,1991,76.42,0.868
05,1992,76.83,0.8743076923076922
05,1993,76.61,0.8709230769230769
05,1994,77.32,0.8818461538461537
05,1995,77.77,0.8887692307692308
05,1996,77.38,0.8827692307692308
05,1997,77.9,0.8907692307692309
05,1998,77.48,0.8843076923076924
05,1999,77.68,0.8873846153846154
05,2000,77.74,0.8883076923076922
05,2001,78.37,0.898
05,2002,78.94,0.9067692307692308
05,2003,78.96,0.907076923076923
05,2004,79.21,0.9109230769230768
05,2005,79.5,0.9153846153846154
05,2006,80.17,0.9256923076923077
05,2007,80.38,0.9289230769230769
05,2008,80.52,0.931076923076923
05,2009,81.78,0.9504615384615385
05,2010,82.57,0.9626153846153845
05,2011,82.14,0.956
05,2012,82.33,0.9589230769230769
05,2013,83.25,0.9730769230769231
05,2014,82.9,0.9676923076923077
05,2015,82.68,0.9643076923076924
05,2016,83.09,0.9706153846153847
05,2017,83.4,0.9753846153846155
05,2018,82.97,0.9687692307692307
05,2019,83.82,0.9818461538461537
05,2020,83.61,0.9786153846153846
05,2021,83.46,0.9763076923076922
05,2022,82.79,0.9660000000000001
05,2023,83.82,0.9818461538461537
06,1991,77.69,0.8875384615384615
06,1992,77.76,0.8886153846153847
06,1993,78.11,0.894
06,1994,78.59,0.9013846153846155
06,1995,78.47,0.8995384615384615
06,1996,78.67,0.9026153846153846
06,1997,79.21,0.9109230769230768
06,1998,79.67,0.918
06,1999,79.42,0.9141538461538462
06,2000,79.58,0.9166153846153846
06,2001,80.7,0.9338461538461539
06,2002,80.33,0.9281538461538461
06,2003,80.78,0.9350769230769231
06,2004,81.43,0.9450769230769231
06,2005,81.48,0.9458461538461539
06,2006,81.74,0.9498461538461538
06,2007,81.76,0.9501538461538462
06,2008,82.35,0.9592307692307691
06,2009,82.74,0.9652307692307691
06,2010,83.29,0.9736923076923077
06,2011,83.52,0.9772307692307691
06,2012,83.34,0.9744615384615385
06,2013,83.98,0.9843076923076923
06,2014,83.89,0.9829230769230769
06,2015,83.98,0.9843076923076923
06,2016,84.6,0.9938461538461537
06,2017,84.87,0.9980000000000001
06,2018,84.81,0.9970769230769231
06,2019,85.12,1.0
06,2020,84.33,0.9896923076923076
06,2021,85.2,1.0
06,2022,84.57,0.9933846153846153
06,2023,86.01,1.0
07,1991,78.89,0.906
07,1992,79.41,0.9139999999999999
07,1993,79.57,0.9164615384615383
07,1994,80.14,0.9252307692307692
07,1995,80.25,0.926923076923077
07,1996,80.45,0.93
07,1997,80.85,0.9361538461538461
07,1998,80.83,0.9358461538461538
07,1999,80.9,0.936923076923077
07,2000,81.49,0.946
07,2001,82.05,0.9546153846153845
07,2002,81.71,0.9493846153846153
07,2003,81.72,0.9495384615384616
07,2004,82.48,0.9612307692307693
07,2005,82.31,0.9586153846153846
07,2006,83.2,0.9723076923076923
07,2007,83.11,0.9709230769230769
07,2008,83.54,0.9775384615384617
07,2009,84.1,0.986153846153846
07,2010,84.52,0.9926153846153846
07,2011,84.88,0.9981538461538461
07,2012,84.74,0.9959999999999999
07,2013,85.28,1.0
07,2014,85.56,1.0
07,2015,85.29,1.0
07,2016,85.87,1.0
07,2017,85.84,1.0
07,2018,86.15,1.0
07,2019,86.5,1.0
07,2020,83.69,0.9798461538461538
07,2021,86.23,1.0
07,2022,85.69,1.0
07,2023,87.32,1.0
08,1991,78.06,0.8932307692307693
08,1992,78.65,0.9023076923076924
08,1993,78.56,0.9009230769230769
08,1994,79.03,0.9081538461538462
08,1995,79.49,0.9152307692307692
08,1996,79.42,0.9141538461538462
08,1997,80.3,0.9276923076923076
08,1998,80.09,0.9244615384615386
08,1999,80.12,0.924923076923077
08,2000,80.87,0.9364615384615386
08,2001,80.7,0.9338461538461539
08,2002,80.97,0.938
08,2003,81.19,0.9413846153846154
08,2004,81.58,0.9473846153846154
08,2005,81.45,0.9453846153846154
08,2006,82.6,0.9630769230769229
08,2007,82.32,0.9587692307692307
08,2008,82.68,0.9643076923076924
08,2009,83.42,0.9756923076923077
08,2010,84.08,0.9858461538461538
08,2011,84.14,0.9867692307692307
08,2012,83.97,0.9841538461538462
08,2013,84.59,0.9936923076923078
08,2014,84.89,0.9983076923076923
08,2015,84.11,0.9863076923076923
08,2016,84.82,0.9972307692307691
08,2017,84.43,0.9912307692307694
08,2018,85.1,1.0
08,2019,85.43,1.0
