mun_code,valor_mapa
01001,2162.24
01002,8794.37
01003,1238.62
01004,1389.54
01006,178.08
01008,737.09
01009,1249.98
01010,2258.74
01011,242.88
01013,695.36
01014,360.21
01016,442.48
01017,865.98
01018,1415.23
01019,161.53
01020,301.52
01021,531.37
01022,828.63
01023,278.97
01027,382.57
01028,1240.04
01030,136.6
01031,1222.91
01032,521.71
01033,677.44
01034,173.57
01036,16706.7
01037,563.4
01039,162.5
01041,180.46
01042,941.28
01043,2190.69
01044,265.89
01046,579.82
01047,1039.6
01049,129.86
01051,3924.48
01052,249.31
01053,555.16
01054,1028.35
01055,709.72
01056,197.95
01057,241.77
01058,1498.6
01059,243101.35
01060,179.79
01061,126.04
01062,327.22
01063,1903.17
01901,2513.45
01902,721.68
02001,124714.19
02002,80194.37
02004,118583.21
02005,117456.44
02006,100045.14
02007,197997.6
02008,225664.33
02009,4634001.54
02010,354051.85
02011,110875.69
02012,334085.77
02013,25233.89
02014,67087.07
02015,284209.1
02016,100462.52
02017,138687.54
02018,176527.12
02019,417715.34
02020,86030.09
02021,201211.72
02022,56797.11
02023,101715.11
02024,674595.84
02025,1672664.09
02026,201624.46
02027,55179.44
02028,20563.78
02029,569482.64
02030,554165.35
02031,113708.38
02032,51457.13
02033,386478.42
02034,297282.0
02035,366757.98
02036,18327.12
02037,6103509.45
02038,51987.74
02039,176395.65
02040,101972.39
02041,59254.74
02042,156402.51
02043,214801.21
02044,197242.19
02045,647393.26
02046,201971.65
02047,19320.98
02048,236866.47
02049,140474.95
02050,18598.06
02051,304370.84
02052,83813.15
02053,540619.17
02054,84808.47
02055,202997.4
02056,318432.82
02057,363810.28
02058,54502.66
02059,53395.73
02060,252065.64
02061,112018.16
02062,80097.76
02063,244906.53
02064,58568.43
02065,89762.65
02066,45584.76
02067,210894.5
02068,63574.64
02069,2648625.13
02070,86995.98
02071,179478.07
02072,276753.39
02073,1080391.4
02074,1348505.57
02075,277486.81
02076,57866.76
02077,8059.43
02078,178225.01
02079,552639.12
02080,86587.91
02081,4864454.74
02082,16427.42
02083,36499.5
02084,57815.0
02085,43879.28
02086,435622.09
02901,403938.15
03001,109670.81
03002,680506.81
03003,79252.66
03004,159710.22
03005,2065875.13
03006,194961.68
03007,34497.94
03008,29722.64
03009,11754599.1
03010,60244.98
03011,3937852.74
03012,840973.63
03013,236072.75
03015,3172994.17
03016,20738.18
03017,76787.39
03018,4266581.68
03019,3768928.87
03020,22850.8
03021,1173799.52
03022,23289.18
03023,263692.29
03024,911366.25
03025,265911.52
03026,274119.95
03027,26544.86
03028,183388.81
03029,85743.45
03030,192248.55
03031,14180313.39
03032,18643.19
03033,30456.25
03034,493423.47
03035,124699.73
03036,18144.8
03037,68616.38
03038,57351.52
03039,18370.71
03040,62686.73
03041,2332328.29
03042,959909.4
03043,551757.67
03044,1084214.63
03045,68666.52
03046,500051.17
03047,5260782.68
03048,1187722.74
03049,3253410.35
03050,5247141.41
03051,63945.01
03052,178866.23
03053,1769316.89
03054,77217.3
03055,1425556.08
03056,1937119.11
03057,34351.82
03058,1169566.37
03059,5113416.65
03060,17835.53
03061,283267.7
03062,116392.03
03063,8033243.38
03064,1157024.83
03066,10855282.88
03067,14625.23
03068,7423.06
03069,1262224.51
03070,678016.46
03071,1057793.14
03072,63707.82
03073,40206.44
03074,357012.29
03075,34925.72
03076,2806966.61
03077,445016.74
03078,178384.05
03079,4137084.26
03080,287322.05
03081,494568.38
03082,6497991.16
03083,1242266.76
03084,102734.12
03085,157047.37
03086,33529.22
03088,1303799.45
03089,2290664.0
03090,4162741.67
03091,88331.43
03092,1514434.7
03093,4980052.64
03094,3213338.47
03095,1103406.64
03096,1238499.3
03097,388109.48
03098,133942.62
03100,169308.63
03101,1254074.83
03102,1884398.21
03103,47066.89
03104,6348955.75
03105,1344916.82
03106,116791.22
03107,678353.15
03109,602582.31
03110,102613.65
03111,1230816.83
03112,185259.83
03113,3865835.92
03114,359306.75
03115,60858.91
03116,227517.73
03117,97166.55
03118,2136908.93
03119,4126065.69
03120,1156696.72
03121,5975837.99
03122,11058789.82
03123,1688674.51
03124,89861.53
03125,96804.89
03127,116275.01
03128,2337474.47
03129,273104.81
03130,5596.26
03131,52752.97
03132,111839.25
03134,26152.26
03135,40814.3
03136,90456.57
03137,132570.04
03138,736548.2
03139,5971057.03
03140,6331693.61
03901,533961.56
03902,4220656.07
03903,822113.46
03904,260662.99
04001,199484.05
04002,191253.38
04003,4565108.69
04004,96674.45
04005,125932.74
04006,1711547.26
04007,121497.02
04008,88520.14
04009,23479.06
04010,137745.96
04011,552464.42
04012,46660.6
04014,37996.0
04015,30252.51
04016,456177.18
04017,1162813.79
04018,47515.08
04019,37554.32
04020,57592.39
04021,29962.4
04022,153609.94
04023,18686.42
04024,608714.82
04026,10620.7
04027,56964.75
04028,43848.18
04029,2551743.76
04030,205931.26
04031,569733.61
04032,1310085.73
04033,22376.07
04034,20989.86
04035,2153908.8
04036,39511.03
04037,239382.45
04038,590526.04
04041,63646.64
04043,98186.35
04044,315604.22
04045,310847.84
04046,137289.5
04047,573217.17
04048,391882.44
04049,1342709.08
04050,151243.07
04051,99490.42
04052,2683455.67
04053,3256961.73
04054,64516.25
04055,82914.89
04056,25248.33
04057,247729.81
04058,64194.77
04059,263668.4
04060,98781.99
04061,119677.92
04062,938163.34
04063,198844.16
04064,1518524.75
04065,71159.48
04066,5098291.56
04067,102782.08
04068,27557.21
04069,1043087.85
04070,339169.72
04071,73197.18
04072,183560.18
04073,69247.18
04074,568452.73
04075,1452755.12
04076,248979.12
04077,59441.52
04078,197068.85
04080,45769.91
04081,64518.18
04082,55513.65
04083,315128.4
04084,62455.82
04085,70656.73
04086,431678.96
04087,34974.02
04088,525250.02
04089,169461.51
04090,80020.37
04091,64271.26
04092,533255.27
04093,574123.31
04094,50077.58
04095,152805.48
04096,45946.09
04097,53297.99
04098,291650.69
04099,1171664.7
04100,2518937.59
04101,894462.78
04102,4217108.88
04103,481835.57
04901,84844.89
04903,1466235.62
05001,35500.42
05002,389538.53
05005,29595.12
05007,19806.17
05008,42188.24
05010,26757.15
05012,23361.9
05013,138805.71
05014,1082726.68
05015,13981.64
05016,1321534.49
05017,13315.41
05018,4561.29
05021,380146.38
05022,275302.67
05023,30960.14
05024,33908.8
05025,17190.84
05026,40646.68
05027,49665.33
05029,22095.03
05030,6957.58
05033,30132.37
05034,2507.14
05035,14986.23
05036,21320.77
05037,45767.96
05038,16669.93
05039,7339.54
05040,10815.92
05041,175224.58
05042,30415.16
05043,12142.98
05044,42083.72
05045,15793.06
05046,9392.63
05047,806717.52
05048,22296.83
05049,66528.58
05051,29777.14
05052,15268.9
05053,12524.78
05054,211461.94
05055,107657.1
05056,17790.12
05057,485501.12
05058,13109.31
05059,15830.03
05060,23173.86
05061,49683.43
05062,32153.02
05063,5608.5
05064,21136.54
05065,81149.47
05066,72860.65
05067,11122.98
05069,15668.93
05070,8410.21
05072,14270.95
05073,54560.83
05074,118142.32
05075,16768.39
05076,80957.06
05077,36091.34
05078,20254.48
05079,9923.43
05080,9623.65
05081,6347.0
05082,89686.19
05083,19692.26
05084,11225.18
05085,5587.01
05086,15364.76
05087,22773.02
05088,4030.89
05089,76526.48
05090,11948.06
05092,28067.54
05093,75806.09
05094,22272.83
05095,48109.89
05096,13243.12
05097,77587.94
05099,104247.3
05100,43945.63
05101,39474.18
05102,337777.15
05103,12115.18
05104,4800.21
05105,55630.12
05106,5921.39
05107,9289.83
05108,7974.44
05109,88794.2
05110,126506.87
05112,18440.71
05113,13256.7
05114,249715.75
05115,116824.59
05116,20420.08
05117,36562.09
05118,14367.0
05119,5257.4
05120,5356.85
05121,43457.41
05122,22694.45
05123,14862.68
05124,16616.23
05125,10493.46
05126,11361.26
05127,106404.99
05128,59066.01
05129,23451.57
05130,15269.43
05131,14938.29
05132,160983.45
05133,9513.47
05134,9079.14
05135,60509.76
05136,16852.66
05138,64932.66
05139,10511.16
05140,23059.85
05141,15060.81
05142,18926.82
05143,9397.4
05144,13654.34
05145,7340.9
05147,28923.46
05148,4932.2
05149,19556.95
05151,16237.31
05152,127967.13
05153,14626.78
05154,6098.14
05155,8121.86
05156,55130.75
05157,37699.26
05158,54105.11
05159,42630.06
05160,47863.39
05161,136189.21
05162,14579.19
05163,298307.64
05164,4693.13
05165,64848.94
05166,34842.4
05167,43408.97
05168,885961.8
05169,32967.45
05170,7693.31
05171,10698.06
05172,22579.19
05173,9406.46
05174,12719.19
05175,33860.13
05176,41165.5
05177,30051.63
05178,62158.3
05179,42017.69
05180,13890.9
05181,5710.21
05182,126454.82
05183,31331.2
05184,48745.46
05185,16289.52
05186,275604.13
05187,329852.14
05188,10001.95
05189,77844.57
05190,8595.97
05191,18095.06
05192,15613.5
05193,34390.77
05194,23327.62
05195,33067.45
05196,11698.05
