mun_code,valor_mapa
01001,2454.0
01002,9990.23
01003,1370.96
01004,1540.17
01006,167.64
01008,843.21
01009,1536.46
01010,2326.53
01011,281.96
01013,797.22
01014,373.27
01016,425.51
01017,942.15
01018,1228.41
01019,177.89
01020,309.57
01021,514.94
01022,973.13
01023,326.9
01027,467.64
01028,1367.58
01030,130.87
01031,1378.49
01032,606.72
01033,815.41
01034,222.19
01036,18069.91
01037,578.89
01039,210.94
01041,198.2
01042,998.11
01043,2362.26
01044,250.2
01046,558.81
01047,1121.8
01049,162.18
01051,4185.21
01052,286.61
01053,631.24
01054,1127.14
01055,956.61
01056,228.07
01057,275.22
01058,1597.32
01059,262251.88
01060,226.98
01061,174.01
01062,329.0
01063,2121.29
01901,2647.79
01902,807.01
02001,127760.74
02002,85357.37
02004,119632.88
02005,117888.27
02006,100663.81
02007,189395.22
02008,227623.85
02009,4320349.77
02010,324428.12
02011,107514.21
02012,317927.25
02013,27450.72
02014,64540.21
02015,288061.52
02016,97482.56
02017,138307.03
02018,170391.26
02019,405142.71
02020,100074.66
02021,188847.0
02022,64056.82
02023,104256.83
02024,624260.77
02025,1576754.5
02026,193049.54
02027,58677.16
02028,20382.97
02029,515727.58
02030,517677.99
02031,106713.45
02032,49880.86
02033,373461.13
02034,300503.18
02035,330052.08
02036,16715.69
02037,5556880.53
02038,49657.65
02039,171429.56
02040,118751.97
02041,62933.61
02042,145104.24
02043,222835.06
02044,193419.88
02045,616945.06
02046,188813.23
02047,12591.32
02048,239918.7
02049,141828.84
02050,18704.95
02051,295496.56
02052,82219.9
02053,529963.66
02054,78276.64
02055,195603.68
02056,311385.09
02057,352486.11
02058,59148.67
02059,57574.53
02060,176906.35
02061,108933.01
02062,81064.26
02063,231785.15
02064,58825.16
02065,81142.78
02066,42736.39
02067,192586.95
02068,66843.89
02069,2458344.11
02070,80479.47
02071,173300.77
02072,271595.33
02073,1017859.15
02074,1278843.22
02075,259803.23
02076,55923.89
02077,8470.54
02078,177971.35
02079,504038.57
02080,90668.6
02081,4486686.7
02082,17251.08
02083,36327.02
02084,53987.89
02085,52290.16
02086,445851.26
02901,387170.21
03001,92170.8
03002,649847.35
03003,77193.01
03004,145762.46
03005,1853541.34
03006,196779.08
03007,31063.45
03008,29203.04
03009,11154021.28
03010,55841.57
03011,3532617.84
03012,643877.03
03013,214375.35
03015,3034407.58
03016,19558.81
03017,68927.74
03018,3951316.45
03019,3493306.3
03020,20725.65
03021,1095281.83
03022,23089.21
03023,243327.43
03024,842153.15
03025,241515.05
03026,250323.45
03027,25013.88
03028,192766.07
03029,78927.02
03030,167540.79
03031,12783267.45
03032,15628.88
03033,26742.4
03034,525530.11
03035,115103.88
03036,13821.93
03037,66436.76
03038,52107.02
03039,18855.96
03040,54364.76
03041,2115263.31
03042,901728.15
03043,527806.81
03044,1014111.9
03045,61237.12
03046,444597.82
03047,4990641.41
03048,1224799.18
03049,2950714.74
03050,4480235.09
03051,56073.89
03052,164234.23
03053,1631129.64
03054,69158.35
03055,1397165.77
03056,1781298.86
03057,35265.38
03058,1037273.9
03059,4795998.07
03060,16429.46
03061,258298.38
03062,98858.11
03063,7561632.14
03064,1113765.15
03066,10133766.58
03067,14163.66
03068,4225.79
03069,1045562.33
03070,582768.47
03071,943285.59
03072,59584.53
03073,34089.13
03074,324514.23
03075,33155.81
03076,2590633.27
03077,398033.9
03078,162253.46
