mun_code,valor_mapa
01001,1854.18
01002,7475.32
01003,1057.85
01004,1161.59
01006,149.78
01008,605.83
01009,1034.66
01010,1938.89
01011,191.51
01013,560.93
01014,278.33
01016,325.73
01017,677.59
01018,1164.51
01019,130.18
01020,259.01
01021,378.5
01022,692.67
01023,230.01
01027,329.62
01028,979.4
01030,108.68
01031,966.17
01032,426.29
01033,579.69
01034,136.3
01036,13161.21
01037,474.41
01039,154.36
01041,132.2
01042,800.92
01043,1881.93
01044,171.54
01046,473.34
01047,885.91
01049,105.31
01051,3814.73
01052,205.58
01053,442.13
01054,874.83
01055,652.56
01056,150.13
01057,194.37
01058,1204.56
01059,210590.94
01060,174.45
01061,119.05
01062,249.05
01063,1493.37
01901,2172.83
01902,574.54
02001,111246.69
02002,80503.57
02004,111750.8
02005,102544.77
02006,95880.83
02007,183591.29
02008,211307.19
02009,4796345.19
02010,332929.21
02011,98956.81
02012,356670.43
02013,20183.43
02014,63197.67
02015,285879.98
02016,89052.22
02017,131325.56
02018,159566.42
02019,421049.98
02020,77927.34
02021,192727.44
02022,51787.57
02023,95516.81
02024,685803.82
02025,1732811.54
02026,192332.71
02027,51473.95
02028,19267.94
02029,619073.64
02030,556472.75
02031,104474.63
02032,46782.22
02033,378181.16
02034,305775.56
02035,372533.71
02036,17981.24
02037,6094649.62
02038,54437.83
02039,171607.01
02040,93507.8
02041,56668.16
02042,142494.44
02043,211328.12
02044,189207.01
02045,669604.16
02046,198682.69
02047,18927.66
02048,226678.27
02049,130206.24
02050,16934.0
02051,302582.38
02052,81301.94
02053,533623.03
02054,84163.41
02055,190072.06
02056,310876.32
02057,359161.01
02058,53749.66
02059,48799.44
02060,200534.11
02061,105468.45
02062,74474.92
02063,237510.96
02064,59636.36
02065,83413.41
02066,40335.42
02067,203943.87
02068,55653.79
02069,2717583.03
02070,79461.97
02071,177332.42
02072,265993.48
02073,1067424.11
02074,1338071.89
02075,289875.11
02076,55871.33
02077,9989.95
02078,172619.38
02079,601513.35
02080,85290.86
02081,4746878.28
02082,16664.02
02083,30961.69
02084,51086.52
02085,50949.74
02086,423298.65
02901,424348.43
03001,102472.32
03002,691148.92
03003,82038.57
03004,139413.08
03005,2223058.13
03006,185969.37
03007,34983.96
03008,27427.15
03009,12470357.96
03010,61487.47
03011,3219615.36
03012,475256.31
03013,213254.3
03015,3689964.47
03016,18912.14
03017,77939.89
03018,4000894.01
03019,3929636.67
03020,20439.08
03021,1311426.13
03022,24809.18
03023,265341.36
03024,971955.57
03025,277881.87
03026,290763.36
03027,27123.5
03028,166407.76
03029,65819.65
03030,156430.89
03031,13467461.8
03032,17550.95
03033,22117.51
03034,485631.16
03035,117801.9
03036,16890.07
03037,73675.74
03038,59038.16
03039,16473.42
03040,59345.27
03041,1961728.23
03042,677317.97
03043,559753.86
03044,1146075.93
03045,64256.52
03046,454744.31
03047,4330072.16
03048,1191801.48
03049,3532753.23
03050,5142580.97
03051,67890.9
03052,183343.83
03053,1722116.16
03054,71200.08
03055,1547120.45
03056,2037772.4
03057,32647.06
03058,1231499.54
03059,5363859.02
03060,17246.99
03061,259954.24
03062,114437.78
03063,8306661.08
03064,1202477.95
03066,11178645.74
03067,15332.64
03068,9146.33
03069,1212933.84
03070,635126.25
03071,999896.01
03072,67089.36
03073,47218.64
03074,386577.79
03075,32646.28
03076,2601764.46
03077,370064.85
03078,170879.92
03079,4283465.82
03080,292425.8
03081,402594.15
03082,5434116.37
03083,1226416.92
03084,93942.3
03085,146305.8
03086,40076.59
03088,1342566.63
03089,2227275.93
03090,4571998.59
03091,75684.02
03092,1664530.5
03093,5204366.23
03094,3195516.62
03095,1167972.12
03096,1283522.24
03097,319618.21
03098,116606.92
03100,151424.55
03101,1244260.05
03102,1802500.0
03103,47498.75
03104,6775717.57
03105,1396494.04
03106,113739.44
03107,732843.61
03109,665317.33
03110,95955.54
03111,1317619.02
03112,162544.69
03113,2715639.7
03114,366918.22
03115,57802.51
03116,236780.14
03117,100339.69
03118,1344513.97
03119,4333575.63
03120,1010534.58
03121,5767283.1
03122,11755347.56
03123,1692434.44
03124,88987.45
03125,88796.78
03127,99131.85
03128,1779167.37
03129,267072.56
03130,7957.86
03131,52406.54
03132,103578.97
03134,23973.42
03135,33611.54
03136,92902.57
03137,117882.29
03138,704104.4
03139,6247120.3
03140,6344702.3
03901,485494.63
03902,4119967.26
03903,741609.37
03904,283360.06
04001,183969.84
04002,176611.15
04003,4775230.29
04004,120653.43
04005,102674.67
04006,2038489.33
04007,119797.09
04008,85286.78
04009,22506.1
04010,113737.07
04011,562183.57
04012,39756.0
04014,28931.64
04015,23041.71
04016,456753.24
04017,647946.76
04018,46864.27
04019,35057.01
04020,45905.53
04021,31024.51
04022,144838.19
04023,16563.23
04024,625502.31
04026,9349.01
04027,44519.14
04028,37658.72
04029,2106444.65
04030,183480.63
04031,507393.08
04032,1348634.89
04033,19910.86
04034,22697.81
04035,2339565.21
04036,42384.0
04037,220329.26
04038,630835.93
04041,63835.51
04043,103746.86
04044,298560.41
04045,290694.23
04046,145756.16
04047,537580.17
04048,407862.42
04049,1403257.87
04050,149186.97
04051,84074.91
04052,2946487.3
04053,3259263.54
04054,58501.84
04055,66385.8
04056,25022.82
04057,235285.06
04058,58093.18
04059,222224.64
04060,85925.98
04061,113554.61
04062,946227.81
04063,202239.33
04064,1201241.29
04065,69429.53
04066,5314863.71
04067,90992.56
04068,29700.55
