codigo_municipio,nombre_municipio,latitud,longitud
08145,Olèrdola,41.31928875152283,1.724473228438684
08197,Sant Andreu de Llavaneres,41.57756196336122,2.4839802435908496
08203,Sant Cebrià de Vallalta,41.629548262794636,2.6040777851791606
09077,Cascajares de Bureba,42.67848443538425,-3.2342188316762805
09091,Castrojeriz,42.27569857136078,-4.142493591543667
09095,Celada del Camino,42.2679603559011,-3.939768868554248
09102,Cillaperlata,42.777336931352075,-3.375149536290082
09112,Coruña del Conde,41.756599816206695,-3.391997623627698
09159,Hontanas,42.309097107013066,-4.048425405837536
09215,Merindad de Sotoscueva,43.04121336627727,-3.6523929156166988
09227,Montorio,42.587647553063086,-3.766126997402094
09235,Olmedillo de Roa,41.78162000731657,-3.928728186396792
09265,Piérnigas,42.60116457837958,-3.4053518085532577
09270,Pinilla Trasmonte,41.879130134332435,-3.6251652201990114
09277,Puentedura,42.04538341836957,-3.5859071354090584
09318,Riocavado de la Sierra,42.17918845427569,-3.2213559065283426
09345,Santa Cruz de la Salceda,41.59138737101327,-3.5834488281337253
09347,Santa Gadea del Cid,42.70842344209986,-3.0745736136649113
09473,Villegas,42.466281932689306,-4.023022506070566
10040,Calzadilla,40.058283066797586,-6.5518472268415815
10053,Casas de Don Gómez,40.01005319333029,-6.604104657459539
10099,Holguera,39.889035641288686,-6.352539189403319
10142,Perales del Puerto,40.13547632041813,-6.690263439740599
10147,Piornal,40.116206733558684,-5.837544235358715
10198,Valdefuentes,39.29150557456177,-6.13003576860157
10903,Alagón del Río,39.96609996156615,-6.31904166054277
10904,Tiétar,40.02550082035343,-5.48356571297474
11039,Vejer de la Frontera,36.281934159544186,-5.941884969946597
11042,Zahara,36.82988046180905,-5.444915708737604
12008,Algimia de Almonacid,39.91538813424526,-0.4207385158362795
12016,Artana,39.89533191551816,-0.24650486394063
12029,Benlloc,40.20778380712416,0.05761805071501848
12034,Càlig,40.467836813137225,0.3524743261411024
12098,la Salzadella,40.41738741438759,0.14738404079193687
13035,Corral de Calatrava,38.87582442576401,-4.127400842970387
13091,Villamayor de Calatrava,38.79660659962648,-4.183793343435682
14009,Belmez,38.265586189520455,-5.1840705393589435
14021,Córdoba,37.84929947594357,-4.701768705733228
14045,Moriles,37.4268327355231,-4.628149113361259
15057,Noia,42.800938276575806,-8.871345504592782
15901,Cariño,43.726404836269275,-7.9012604974518466
16015,La Almarcha,39.690804589798645,-2.3873589621545404
16031,Beamud,40.19326062718897,-1.832964568134555
16112,Huete,40.15870655172039,-2.6362466759980587
16174,Puebla del Salvador,39.56634101520256,-1.6779967847420632
16211,Torrejoncillo del Rey,40.014976041068294,-2.540531558395799
16215,Tragacete,40.36251668877684,-1.844072346413012
16237,Valverdejo,39.622709905224916,-2.030858965354829
16247,Villalgordo del Marquesado,39.6817309021562,-2.5112028259663215
16273,Villaverde y Pasaconsol,39.774408950944476,-2.281289098051402
17041,Cantallops,42.41817956958312,2.928166903018745
17063,Espinelves,41.87374774344972,2.4230380990539553
17080,Gombrèn,42.25065174645925,2.070281244158509
17112,Ogassa,42.2645722719235,2.2525542846653694
17114,Olot,42.17688443824656,2.493975941216957
17133,Les Planes d'Hostoles,42.06449044904279,2.5494295034081462
17137,Porqueres,42.12182806503633,2.7303406048381182
17180,Santa Coloma de Farners,41.86862351968091,2.625325367416182
17184,Santa Pau,42.151215243199616,2.569254987704951
17200,Tortellà,42.24347421376233,2.6207966400448655
18001,Agrón,37.013601359736406,-3.8206447060444413
18029,Benamaurel,37.62888944141266,-2.698033238649724
18053,Cortes de Baza,37.68902250972968,-2.8182606964706696
18102,Íllora,37.28254088199148,-3.8981405595273735
18116,Lanjarón,36.95028296268729,-3.4642380393308536
18117,Lanteira,37.147287399013734,-3.1383808544118112
18127,Maracena,37.21047473651478,-3.640068947084644
18165,Pulianas,37.22630881345289,-3.609495569867948
18901,La Taha,36.925174604243395,-3.3357297876086793
19065,Cantalojas,41.226493436024555,-3.292889390175287
19076,Castellar de la Muela,40.82656178615402,-1.7488496028472726
19088,Ciruelas,40.75085901005206,-3.1047219457614004
19122,Fuentelsaz,41.05505555385779,-1.8194317318405775
19127,Galve de Sorbe,41.20576541808002,-3.1969165619452244
19165,Majaelrayo,41.13991659364768,-3.3231508724831684
19192,Mondéjar,40.318867677795545,-3.118106444998835
19289,Traíd,40.67218627880769,-1.8065615754982085
19324,Villel de Mesa,41.128635564942456,-1.9966221150763472
19333,Zaorejas,40.75960048787178,-2.186933420262062
20017,Azkoitia,43.174159556050505,-2.329027333047338
20034,Eskoriatza,42.999573467780024,-2.533252411620802
20036,Hondarribia,43.36158321411691,-1.8253340610400584
20064,Pasaia,43.33890973743615,-1.8947440209622057
20065,Soraluze-Placencia de las Armas,43.17761664477921,-2.4114172807472887
20902,Lasarte-Oria,43.26021844194878,-2.012864883095223
20907,Gaztelu,43.106952171066496,-2.0187896162785854
21044,Lepe,37.28019051469886,-7.22457863935313
