codigo_comunidad_autonoma,nombre_comunidad_autonoma,latitud,longitud
19,Ciudad Autónoma de Melilla,35.29107412865434,-2.9506895373799105
13,Comunidad de Madrid,40.49506494883506,-3.7170278269539923
15,Comunidad Foral de Navarra,42.667166214812866,-1.6460208786922126
03,Principado de Asturias,43.2923774208489,-5.993366360759553
20,Territorio no asociado a ninguna autonomía,35.35316429856042,-3.215774484278578
08,Castilla-La Mancha,39.58093506785677,-3.0045800643630938
06,Cantabria,43.19770260152695,-4.02933085116072
07,Castilla y León,41.754353671723216,-4.781857080008463
01,Andalucía,37.463284516675,-4.575730691292747
04,Illes Balears,39.57419236890673,2.91286412664074
05,Canarias,28.34157264994389,-15.667166418179178
11,Extremadura,39.19143037125115,-6.150650774755328
18,Ciudad Autónoma de Ceuta,35.89358697439757,-5.343052732412144
14,Región de Murcia,38.00209730913309,-1.4852016933395802
09,Cataluña,41.79841388275513,1.5288177458229968
10,Comunitat Valenciana,39.40148442908969,-0.5546632988725573
17,La Rioja,42.27489230249232,-2.51702536321161
02,Aragón,41.519526470555824,-0.6599265651664544
12,Galicia,42.75683303641136,-7.910560337975412
16,País Vasco,43.043517809344635,-2.61641257364427
