Edad;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;0.0026698439999999998;0.0026112229999999998;0.002723171;0.002021851;0.002369678;0.002041888;0.002127953;0.002274136;0.002149966;0.0020625969999999998;0.002010919
1;0.00012572900000000002;0.000151479;7.982200000000001e-05;0.000145023;0.000119474;9.6148e-05;0.000118602;8.6241e-05;0.00012412099999999999;4.4393e-05;8.560700000000001e-05
5;4.1986e-05;7.755900000000001e-05;9.255299999999999e-05;6.0227000000000005e-05;6.895999999999999e-05;5.9684e-05;6.9367e-05;7.930800000000001e-05;3.6068999999999996e-05;5.7046e-05;7.4012e-05
10;6.6825e-05;0.00011132400000000001;3.9987e-05;7.986999999999999e-05;0.00010076599999999999;9.725599999999999e-05;6.332500000000001e-05;6.208099999999999e-05;4.9906e-05;7.327000000000001e-05;4.8369000000000004e-05
15;0.000109303;0.000127724;0.000152927;0.00011808399999999999;8.6733e-05;0.000163769;0.00012211199999999999;0.000132413;0.000115843;0.000118381;0.00014939399999999999
20;0.00015144599999999999;0.000205776;0.000162827;0.00017312;0.00019003;0.00014343;0.00012572;0.000170521;0.000155384;0.000129713;0.00011530600000000001
25;0.000195166;0.000206595;0.000221448;0.000148588;0.000213843;0.0001759;0.000196792;0.000146926;0.000149318;0.000165104;0.000210544
30;0.00025233499999999996;0.000280298;0.000283358;0.000211307;0.000296203;0.000185667;0.00023188400000000002;0.000229829;0.000291623;0.00026566299999999997;0.000233377
35;0.000444686;0.00047404600000000005;0.00042107099999999997;0.00044139499999999997;0.000351254;0.00035026800000000004;0.00037150100000000005;0.000373085;0.00037233300000000003;0.000325526;0.000386826
40;0.000906173;0.000781438;0.000737265;0.000647255;0.000751515;0.0006489120000000001;0.000630488;0.000557871;0.000594997;0.000521384;0.00066031
45;0.001438784;0.001329922;0.001390357;0.00122036;0.001174349;0.001156634;0.00107142;0.0010770040000000001;0.000914767;0.001093159;0.0010687930000000002
50;0.0020199159999999996;0.002074721;0.00210656;0.001914892;0.001727939;0.0019721409999999997;0.001922621;0.0019014;0.001725772;0.001740261;0.001963208
55;0.002988493;0.0028430240000000004;0.002675186;0.0028517229999999996;0.002956641;0.003060111;0.002589031;0.00278604;0.002827324;0.002567568;0.003168484
60;0.003966361;0.0036281349999999998;0.003957569;0.003882658;0.003851265;0.003699745;0.003989078;0.0038004540000000004;0.004151767000000001;0.003828904;0.0044706830000000005
65;0.005837831000000001;0.005891179;0.005863818;0.0059059920000000005;0.005507098;0.005483474;0.005585355;0.005795649;0.005863885;0.005492739;0.006804167
70;0.010376421;0.010294696999999998;0.010591988;0.010030259;0.009645543;0.009414321;0.009139656999999999;0.009173484999999999;0.009161258;0.008951222;0.011216100000000001
75;0.020504919;0.018894963;0.019906494;0.018780995999999998;0.01896561;0.018815681;0.018310912999999998;0.017777074;0.017407399;0.016921339;0.020803007999999998
80;0.0434425;0.042128099;0.042863506999999995;0.039184454;0.039224288;0.04161323;0.037709289;0.038211252;0.037256799;0.035642753;0.045334286
85;0.088519388;0.08675719700000001;0.090797426;0.084211568;0.08214622199999999;0.086384146;0.080775132;0.082351308;0.07911338899999999;0.075497451;0.09373882500000001
90;0.167254817;0.16336964399999998;0.17110293799999998;0.160387042;0.156435227;0.168521634;0.157524516;0.167188614;0.167038092;0.153098127;0.18401422199999998
95;0.296383551;0.30700638199999997;0.31067279200000003;0.27465151200000004;0.281584497;0.305953086;0.280614911;0.298239959;0.301669723;0.280113141;0.349026303
