Edad;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;0.003895076;0.002657755;0.003623091;0.0027802060000000003;0.003212919;0.003012191;0.003105486;0.00242449;0.003072057;0.002405178;0.0026347489999999996
1;9.788800000000001e-05;0.00017744499999999998;0.00019306300000000002;9.5566e-05;0.000135287;0.000165942;0.000118262;0.00013463600000000002;0.000180879;0.00014871300000000002;0.00012422
5;9.6291e-05;9.278699999999999e-05;7.3828e-05;6.7689e-05;7.216500000000001e-05;6.0846999999999995e-05;6.593e-05;8.7379e-05;5.5202000000000004e-05;4.549e-05;4.0669999999999995e-05
10;0.000101934;8.667e-05;8.574099999999999e-05;6.907900000000001e-05;8.7521e-05;0.000108337;0.000100088;0.000115673;8.3774e-05;8.170600000000001e-05;0.00010801099999999999
15;0.00015270300000000002;0.00022489;0.000218173;0.000165652;0.00024155;0.000115458;0.00018498400000000002;0.000205767;0.000216842;0.00016527;0.000201424
20;0.00031192;0.000339823;0.00031894;0.000268479;0.00028230100000000005;0.00030003200000000004;0.000271752;0.00029403000000000003;0.00031257;0.00029612100000000005;0.000228133
25;0.000356731;0.00030922500000000005;0.000254672;0.00029338599999999997;0.000245743;0.000370367;0.000322391;0.000314321;0.000379597;0.000282387;0.000372116
30;0.00043711;0.000460515;0.00036376599999999996;0.000413261;0.000397401;0.0003556;0.000337595;0.000313646;0.00039469500000000003;0.00038920700000000003;0.000416526
35;0.000697251;0.000614324;0.000523114;0.000591916;0.000497661;0.000490562;0.000506065;0.000500633;0.000477507;0.000486457;0.000644092
40;0.001273261;0.001213137;0.0011560980000000002;0.000952815;0.000968177;0.000923156;0.0009355489999999999;0.000766674;0.000771241;0.0006765440000000001;0.0008780210000000001
45;0.002347059;0.002039711;0.002320103;0.0020099619999999997;0.001956178;0.0017433499999999998;0.001555193;0.00156414;0.0015279229999999998;0.001506052;0.001648009
50;0.00379746;0.003936864;0.0035189910000000004;0.003569688;0.003074008;0.003533807;0.003172345;0.00294441;0.002882904;0.002759785;0.003405333
55;0.0057994890000000006;0.0054496729999999995;0.005941232;0.005481285;0.0054006720000000005;0.0056390450000000005;0.005135308;0.005068576;0.004873769;0.004679774;0.005995564
60;0.008658374;0.008710512;0.008791664000000001;0.008822405;0.008643669;0.00877838;0.008181581;0.008087525;0.007970888;0.008050744;0.009937894
65;0.013250488000000001;0.013228605999999999;0.012925971000000001;0.01227919;0.012486325000000001;0.012912705;0.012189942;0.01197629;0.01207213;0.01155703;0.015983514
70;0.02245878;0.021604446;0.021017967;0.020064731;0.019397391;0.019482544999999997;0.01928453;0.019298191;0.018218848000000003;0.018250117;0.026364446
75;0.038118525;0.036451532999999994;0.034989121;0.034622977;0.034404325;0.035732429;0.032513021;0.031820469;0.030081175999999998;0.029670793;0.045047094
80;0.067814315;0.064649526;0.062398569;0.062112268;0.057480678;0.060560899999999994;0.055241185;0.057700344;0.05519999;0.054932242;0.081436095
85;0.113157376;0.115917951;0.114768073;0.112476756;0.107509565;0.11489873199999999;0.106891923;0.10714472600000001;0.105180812;0.10156017;0.148901901
90;0.20237578099999998;0.199706583;0.198137644;0.17888658000000002;0.191229184;0.19675875199999998;0.191881035;0.192790457;0.186488379;0.17557789099999999;0.254753152
95;0.328502456;0.329306879;0.322782752;0.311413987;0.28008118000000004;0.332459478;0.300297862;0.328043022;0.304031284;0.28565573699999997;0.418459155
