Edad;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;0.002965417;0.002936884;0.002964263;0.002776201;0.0018737159999999999;0.002764866;0.002052398;0.002793364;0.002136678;0.003458632;0.003180256
1;0.000231871;8.3763e-05;0.00017147100000000003;0.00023925499999999999;0.000117278;4.7325e-05;0.000105831;0.000126745;0.000188432;0.000188748;0.00017050399999999998
5;5.3549e-05;5.341e-05;6.917800000000001e-05;0.000101659;0.000135824;0.000121446;6.9678e-05;5.2137000000000006e-05;7.4889e-05;1.7930000000000003e-05;7.6627e-05
10;3.7477999999999996e-05;7.379399999999999e-05;9.2674e-05;9.2144e-05;0.00011056199999999999;9.1575e-05;0.00012701200000000002;7.295500000000001e-05;1.7099e-05;8.6715e-05;8.5443e-05
15;0.00027039;0.000245485;0.000248843;0.000183572;0.000131228;0.000187188;0.000206814;0.000319406;0.000130023;0.00012720300000000002;0.00014475799999999999
20;0.00041220600000000003;0.00026222299999999996;0.00025113;0.000261554;0.00045654299999999996;0.000441236;0.000464972;0.000235847;0.00020213999999999999;0.00018351;0.000379045
25;0.0005734669999999999;0.000377396;0.00035176;0.00033789000000000003;0.000459368;0.000475334;0.000446878;0.00040479599999999996;0.000496352;0.000316294;0.000448328
30;0.000563234;0.000454686;0.0005796519999999999;0.000432002;0.000489959;0.00047193800000000003;0.000517733;0.000569676;0.000483078;0.00045152399999999997;0.000483266
35;0.0008181509999999999;0.000798634;0.0006936959999999999;0.000837223;0.00048556;0.000786746;0.000657562;0.000492373;0.000685555;0.000588186;0.000821347
40;0.001426801;0.001450683;0.001520519;0.0012360169999999998;0.0010705670000000001;0.001292797;0.000940614;0.001046341;0.000837693;0.000756815;0.00115383
45;0.002253771;0.0019492469999999999;0.002259767;0.002668161;0.00223359;0.002044324;0.002249416;0.002038312;0.001887139;0.001741081;0.00225683
50;0.0041801089999999996;0.003695336;0.003747582;0.0037037779999999996;0.003607099;0.003697769;0.003468894;0.003895314;0.003538176;0.003304872;0.004093987
55;0.005933615;0.006116956;0.005684309;0.005686504;0.005909918;0.006117422;0.005781142;0.005477944;0.005504223999999999;0.005759368;0.006072472000000001
60;0.009676465;0.009381231;0.009620515;0.009543597999999999;0.009566281999999999;0.009523025000000001;0.008938129999999999;0.008512028000000001;0.009489585;0.008712682;0.010790388
65;0.013329345;0.01428812;0.013309255;0.013550318;0.014074233;0.013784144;0.013499551;0.01520823;0.013521143999999999;0.013550468;0.017725567
70;0.021646591;0.022083195;0.023059149;0.020260753;0.021002268;0.021418617999999997;0.021837591;0.02257968;0.021038408;0.019888248999999997;0.027814876000000002
75;0.036218629999999995;0.035907092;0.035285018;0.036891583;0.035869424999999996;0.038032809;0.036710656;0.035703898000000005;0.034138084;0.035904555000000005;0.046641296
80;0.065160664;0.065701899;0.069969725;0.063565894;0.060449669;0.063835001;0.065168639;0.06414904099999999;0.061514228000000004;0.059796801999999996;0.085040396
85;0.11917080199999999;0.119260959;0.122073915;0.114139793;0.11523655;0.125455305;0.115312228;0.11909697799999999;0.111340517;0.109236978;0.147367069
90;0.211818718;0.20267924199999998;0.2305232;0.204139088;0.208181247;0.219563832;0.19930496299999997;0.20933248299999999;0.207240929;0.199036905;0.26373951
95;0.351958275;0.331298414;0.35911772999999997;0.34743395099999996;0.325217533;0.335416934;0.307793157;0.34428417;0.33175792000000004;0.30093385;0.44146388200000003
