Edad;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;0.004099938;0.003871928;0.003294502;0.0031780339999999997;0.003622439;0.002847855;0.003135458;0.003388174;0.003104112;0.0033578749999999997;0.003287182
1;0.0001676;0.000150247;0.00015882;0.00014211199999999998;0.00013807;0.000108345;0.00016891800000000002;0.00021333299999999999;0.00016939100000000002;0.00016744200000000001;0.000181196
5;0.000102327;0.00012582499999999998;9.8464e-05;0.00011220800000000001;7.1217e-05;6.728e-05;8.159500000000001e-05;5.3463999999999995e-05;8.4941e-05;6.0976e-05;5.7647e-05
10;0.000139674;0.000124518;0.00011808299999999999;7.381400000000001e-05;9.0959e-05;8.159e-05;9.2344e-05;9.555700000000001e-05;8.027199999999999e-05;0.000111693;7.903100000000001e-05
15;0.000333628;0.000247679;0.000309807;0.000224551;0.000236688;0.000276419;0.00025288100000000005;0.00016314;0.000239386;0.00021843499999999998;0.00022376299999999998
20;0.000413486;0.0005031219999999999;0.000383592;0.00039024999999999997;0.00036668;0.000324589;0.00026975100000000004;0.000330335;0.000390909;0.00032504;0.000373129
25;0.000458212;0.0005017169999999999;0.000546892;0.000416949;0.000386901;0.00037445;0.000439025;0.000440542;0.000527272;0.000468313;0.000488137
30;0.000629889;0.000626988;0.000558976;0.000556013;0.000633588;0.000622211;0.00060341;0.000560106;0.000613567;0.000619614;0.000692744
35;0.000985301;0.000986356;0.001006915;0.000789075;0.000646354;0.000796045;0.000695018;0.000806924;0.000730037;0.000806087;0.000773004
40;0.0018625080000000001;0.001703845;0.001613281;0.001457724;0.00138093;0.001261374;0.001245332;0.0011104350000000001;0.0011599980000000002;0.0010167779999999999;0.001231446
45;0.003065691;0.002876528;0.002850323;0.002627922;0.002666249;0.002310104;0.0025205410000000003;0.002338214;0.0022492619999999997;0.002198152;0.002254467
50;0.004955258;0.00463753;0.004805608;0.00464433;0.004275893;0.004608038;0.0044935109999999995;0.004418363000000001;0.004053503;0.0041251379999999995;0.004207475
55;0.007125947;0.0073412600000000005;0.006890488;0.006893381;0.006940889;0.007084965;0.0066876769999999995;0.00675901;0.0069803949999999995;0.006590601000000001;0.007134728
60;0.011657109;0.011039044000000001;0.011349975;0.011112116;0.010561702000000001;0.01082958;0.01040104;0.010258400999999999;0.010896615;0.010214988;0.010992363
65;0.017321615000000002;0.017200072;0.018031968;0.016559957;0.016335769;0.016654364;0.016050955999999998;0.015723673;0.016132503;0.015733859;0.016968918
70;0.028863227999999998;0.027967238;0.027610135;0.026774035;0.025625916;0.026807248000000002;0.025807968;0.025885373;0.025666958;0.024749833;0.026429527
75;0.048540276;0.047920623;0.048064215;0.045095539000000004;0.043717645;0.046627233;0.042183796;0.042310297;0.042171969;0.039813689;0.043803648
80;0.08502788;0.08414640699999999;0.085301582;0.078594699;0.076131354;0.082088605;0.07623347;0.074794915;0.077411521;0.07033696;0.078723055
85;0.143354838;0.140203903;0.145120208;0.13132228599999998;0.132615244;0.138578135;0.128608587;0.134640013;0.13420706699999999;0.126451225;0.13521497700000001
90;0.230063769;0.217526134;0.22692696699999998;0.206535941;0.214188121;0.232950612;0.221659511;0.21951204000000002;0.217992001;0.215083643;0.225392384
95;0.31473054;0.27426718699999997;0.31350417199999997;0.268213852;0.270827708;0.322703824;0.291691716;0.293965043;0.296019298;0.306755037;0.32213194700000003
