Edad;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;0.003771785;0.0020942590000000002;0.002926778;0.003910915;0.002893035;0.002216569;0.001372833;0.001849136;0.000990588;0.001058746;0.002744916
1;0.000248334;0.000251275;0.000338753;8.7131e-05;9.1395e-05;9.7267e-05;0.0;0.000209304;0.000113402;0.000111691;0.0
5;0.000233954;6.8874e-05;0.000293981;0.0;6.707200000000001e-05;0.0;6.9605e-05;0.000138051;0.0;6.8937e-05;8.4259e-05
10;8.332399999999999e-05;8.3346e-05;0.0;0.0;7.858600000000001e-05;7.8525e-05;0.0;7.381600000000001e-05;0.0;0.0;0.000135266
15;0.00030427700000000004;0.0;0.0;0.00033175100000000003;0.000166237;0.000491162;7.907400000000001e-05;0.0005588450000000001;0.000150309;0.00022464799999999998;0.0
20;0.000600996;0.000354945;0.00042458400000000004;0.00043508999999999996;0.00038015;0.000610069;0.000240454;7.5874e-05;0.00032203;7.9856e-05;0.000317818
25;0.000703474;0.00035691099999999996;0.000515548;6.0709e-05;0.000262376;0.000396692;0.00020483399999999998;0.00028759;0.000296453;0.000227884;0.000291874
30;0.00042904799999999996;0.0006388930000000001;0.0005424609999999999;0.000408609;0.000376951;0.00041373500000000004;0.0007458479999999999;0.00036112899999999996;0.000487742;0.00051857;0.000674191
35;0.000890296;0.000840249;0.000667224;0.0005877710000000001;0.000865627;0.000755336;0.000580546;0.0006478819999999999;0.000749846;0.00057741;0.000758637
40;0.001622976;0.001692223;0.001156853;0.001123574;0.001165018;0.000903207;0.00122369;0.00136274;0.000997726;0.0010746960000000002;0.0010490319999999999
45;0.002722667;0.002698166;0.002602487;0.002060204;0.002609726;0.002301782;0.002210507;0.001998441;0.001870222;0.001472997;0.0015793699999999999
50;0.005363917;0.004406215999999999;0.003680623;0.0032160609999999997;0.004489713;0.0037797580000000002;0.004139665;0.002687277;0.003535481;0.003506332;0.003336913
55;0.007611427;0.008010531999999999;0.006218451;0.0074045759999999995;0.0061674550000000005;0.00715278;0.007561786;0.005983576;0.007400357;0.005749294;0.005019659
60;0.011235428;0.011808975999999999;0.011031604;0.010793101;0.011525558;0.010647884;0.009866396999999999;0.010806946;0.009272389;0.009946253;0.010000999
65;0.015465115000000001;0.015507969;0.015603652;0.013984722;0.016243377;0.014698843;0.015011717;0.014774194;0.015039349;0.014062174;0.014866531
70;0.025124865;0.024331151;0.024322811000000003;0.022331879000000002;0.022474907000000002;0.023050588;0.022901263;0.020801669000000002;0.024418614999999998;0.022535958999999998;0.022755019999999997
75;0.045150083;0.042419641;0.040500651;0.036987874;0.039154654000000004;0.040840435;0.038274392;0.036729002000000004;0.035689703999999996;0.034755369;0.041334924
80;0.074703027;0.068843498;0.073864818;0.072754969;0.06679064800000001;0.067352581;0.067197884;0.068093583;0.066763592;0.060474565;0.069459249
85;0.12184887999999999;0.130080963;0.141034927;0.13015143;0.128735038;0.121495478;0.12150359000000001;0.122518305;0.12252423500000001;0.1230271;0.12164354299999999
90;0.21202635;0.221382993;0.20305932999999998;0.191852819;0.216756638;0.222774225;0.213364332;0.226163795;0.223899237;0.231892818;0.219657715
95;0.370958817;0.354485487;0.333157207;0.314234823;0.252657273;0.346387839;0.34194867599999995;0.32918039499999996;0.368597562;0.34162337600000003;0.308776638
