Edad;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;0.002751331;0.002768977;0.0033868459999999998;0.002818398;0.002940219;0.0020297360000000003;0.0018642799999999998;0.002457799;0.002161909;0.001964901;0.001944439
1;0.000131781;0.000104593;0.000197816;0.000136866;0.000125809;8.3766e-05;0.000139061;9.510499999999999e-05;0.000136098;0.000105034;4.2399e-05
5;3.0938e-05;5.5627e-05;8.3929e-05;7.732500000000001e-05;8.8451e-05;6.3837e-05;7.5395e-05;2.9016e-05;8.807199999999999e-05;2.9703e-05;3.0324e-05
10;5.0385e-05;5.6726e-05;9.711e-05;5.4539999999999996e-05;9.1281e-05;3.8466e-05;8.112e-05;6.123499999999999e-05;0.00010086100000000001;2.8541e-05;8.09e-05
15;0.000104519;0.000187445;0.000163122;5.8126e-05;7.2282e-05;9.9789e-05;0.000138472;0.000119677;0.000134929;0.000123524;8.3767e-05
20;0.000156724;0.00014804500000000002;0.000144477;6.8108e-05;0.00017995;9.850499999999999e-05;0.000134981;0.00014147499999999998;0.00010721500000000001;0.000139038;6.4774e-05
25;0.000157334;0.000138591;0.000190901;0.000145098;0.00018093799999999998;0.000135689;0.000131602;0.000167322;0.00014447399999999999;0.000138417;0.00015837799999999998
30;0.000246654;0.00023576;0.00020032400000000002;0.000180563;0.000215911;0.00013985900000000002;0.000176446;0.000185613;0.000233104;0.000188024;0.000250604
35;0.000369676;0.000300637;0.000421497;0.000380948;0.000367174;0.000272312;0.000277971;0.000334894;0.000308772;0.000262906;0.00040460800000000004
40;0.0006988560000000001;0.000622838;0.0006700920000000001;0.0006432679999999999;0.000648291;0.00062378;0.0005234959999999999;0.000530409;0.000502375;0.00045974300000000003;0.000533185
45;0.001267824;0.001154049;0.0010672790000000002;0.001016435;0.0010230550000000001;0.001101751;0.001028377;0.0010468040000000001;0.0008850170000000001;0.000926647;0.000982629
50;0.001898352;0.001905825;0.001701168;0.001930052;0.001849811;0.001853252;0.001612812;0.001595628;0.001582268;0.001510299;0.0017440720000000002
55;0.0027938610000000003;0.002633244;0.0027069679999999997;0.002576962;0.00262794;0.002744871;0.0026524839999999997;0.002671836;0.002447437;0.0025843759999999998;0.002871728
60;0.0034995;0.003826902;0.003798059;0.0038247800000000003;0.003593714;0.003946372;0.003658887;0.003862376;0.003800988;0.004052053;0.004841359
65;0.005407998;0.005567222;0.005248378;0.005294768;0.00545339;0.005364555;0.005364096;0.005907664;0.004969782000000001;0.005489391999999999;0.007107774
70;0.009807586;0.009116668999999999;0.008741567;0.008311632;0.009084714;0.008874345;0.008300033;0.008763750999999998;0.008426382;0.008487884;0.011819587
75;0.017900608999999998;0.017912982;0.017774125;0.016837542;0.016485579;0.016902068;0.015466939;0.01566669;0.014937625000000001;0.014320176;0.021328589000000002
80;0.038367610999999996;0.037415378;0.037407649999999994;0.034005652;0.034680224;0.036633656;0.0323943;0.032599172;0.03152952;0.031696413;0.046215589
85;0.079264548;0.07674934;0.078748431;0.073570954;0.072226796;0.077188668;0.071660945;0.071891226;0.068979131;0.068112319;0.09384176
90;0.15272055399999998;0.152087181;0.15289993200000002;0.14371963299999999;0.142107497;0.15543599;0.147883587;0.148096284;0.143226965;0.135617531;0.187129101
95;0.28449617;0.276209038;0.281949835;0.275707888;0.255120894;0.29622122100000003;0.260542388;0.281216252;0.262736445;0.268690392;0.35309216
