Edad;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;0.0;0.0028656130000000004;0.005636817;0.005617534;0.006878901;0.010854191000000001;0.008353177;0.009000142000000001;0.007911135;0.001627165;0.003787056
1;0.000817585;0.000372671;0.00037605699999999995;0.0;0.0;0.0;0.00034178599999999996;0.000703303;0.0;0.000370572;0.0
5;0.0;0.0;0.0;0.00031930399999999996;0.0;0.000302675;0.00032550499999999997;0.0;0.0;0.0;0.0
10;0.0;0.0;0.0;0.0;0.0;0.000336133;0.0;0.0;0.0;0.0;0.0
15;0.0;0.0;0.0;0.000387407;0.000353464;0.0;0.0;0.0;0.0;0.0;0.0
20;0.0;0.0;0.0;0.00036954100000000003;0.000363293;0.000351143;0.0;0.0;0.000356523;0.000342669;0.001030212
25;0.0;0.00033139000000000004;0.000674633;0.0009780729999999999;0.0;0.000328747;0.001003355;0.0;0.0;0.0;0.001092935
30;0.0;0.0;0.000293609;0.000324403;0.0;0.000647389;0.0006549660000000001;0.000339072;0.0;0.000353828;0.00035263
35;0.000359163;0.0;0.00035290500000000004;0.000682421;0.0012997380000000002;0.001001788;0.0;0.0;0.0012775240000000002;0.00030757;0.0006666560000000001
40;0.000693071;0.000699241;0.000709365;0.000690846;0.001040944;0.00033697899999999995;0.0006924839999999999;0.000675366;0.000707235;0.001065683;0.000971309
45;0.001612917;0.001156714;0.001796193;0.00137587;0.00069006;0.001391866;0.0014379109999999998;0.0;0.0014358770000000001;0.00254965;0.0007320149999999999
50;0.001321239;0.00043558000000000003;0.003170874;0.0027435420000000003;0.003485717;0.004225927000000001;0.00414499;0.001805002;0.003210417;0.002151942;0.004340485
55;0.004366965;0.004391421;0.004113679;0.002783436;0.001425787;0.004347009;0.003152667;0.002750745;0.00277524;0.00679361;0.006365803
60;0.004650028;0.0046336139999999994;0.0034722689999999996;0.006683568;0.007262513;0.004416282;0.005253832;0.005322997;0.007622757;0.006289955;0.006742224
65;0.007896374;0.006755965;0.008277630999999999;0.008344721;0.009191219;0.006717996;0.009900965;0.008770011999999999;0.009347184;0.007564347;0.013954905
70;0.018535928;0.019959888;0.016148881;0.015631915;0.015887476;0.015809603;0.020132083000000002;0.019960287;0.015003865;0.014244287999999999;0.020790001
75;0.028243772;0.038365032;0.031718118000000003;0.03602752;0.031720941;0.040635226;0.029914796;0.026822410999999997;0.034856799;0.021456559;0.029635451
80;0.055649933;0.057435817;0.047577383;0.046264712;0.060268755;0.056526929000000004;0.061550992;0.068522867;0.052349389;0.056490232;0.07437384500000001
85;0.11320782900000001;0.123421193;0.14412043800000002;0.129755699;0.093405944;0.127330727;0.09561149399999999;0.126889392;0.10742204300000001;0.087464813;0.10234765400000001
90;0.154737664;0.226292837;0.192998383;0.168843601;0.18138263599999999;0.244398542;0.14509922800000002;0.167690582;0.22788761700000001;0.193240978;0.22255297899999998
95;0.2983168364117647;0.2931271001764706;0.30122363476470587;0.2823281191764706;0.28354401105882354;0.3100643305882353;0.2857851591764706;0.3019943801764706;0.29710416358823527;0.2813028346470588;0.32212468264705885
