Edad;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;0.00332849;0.004667473;0.002676729;0.0028227400000000002;0.002664952;0.002763321;0.002918957;0.003670717;0.00419471;0.0025500569999999997;0.002011606
1;0.00013986899999999999;0.000168356;0.000152809;0.000309538;0.000163957;0.000113681;0.000171609;2.9925e-05;0.000319089;8.751000000000001e-05;0.000162789
5;9.103799999999999e-05;1.8071e-05;5.4019e-05;3.5871e-05;0.000109228;5.929e-05;0.000247507;7.863399999999999e-05;6.1536e-05;8.3185e-05;6.186e-05
10;0.00015207;0.000130559;5.5472e-05;7.2469e-05;0.000107655;7.183299999999999e-05;0.000143581;1.7797e-05;7.0659e-05;0.000194597;9.0515e-05
15;0.00025067;0.00028894399999999996;0.000225022;0.000210025;0.00017045;0.000302741;0.000149898;0.00027188099999999997;0.000175671;0.000190273;0.000171155
20;0.00041042899999999997;0.000329528;0.000460487;0.000310212;0.000358553;0.000311837;0.000277526;0.000283766;0.00033280900000000005;0.0005858640000000001;0.000545578
25;0.000508686;0.000514767;0.000495054;0.000378208;0.000554418;0.000481343;0.000576674;0.00048054799999999997;0.000351335;0.000477307;0.000748421
30;0.000791515;0.000596374;0.000717827;0.0005626870000000001;0.000594481;0.0005091900000000001;0.000644166;0.000638369;0.000503913;0.000334955;0.0008140119999999999
35;0.000942912;0.000870023;0.00090163;0.000660379;0.000763055;0.000765153;0.000827622;0.0009433709999999999;0.000928311;0.000775187;0.000813499
40;0.001689359;0.0016015410000000002;0.0016230180000000002;0.001192926;0.0012813079999999999;0.001288794;0.001368749;0.0012146300000000002;0.001305734;0.001241226;0.001341517
45;0.002846196;0.002843375;0.0027262909999999996;0.002597487;0.0026708210000000003;0.002336511;0.002203306;0.002368923;0.002197583;0.002084857;0.0018024439999999998
50;0.005254788999999999;0.0049626720000000004;0.0046411329999999995;0.00429712;0.0046060879999999995;0.004206945;0.004037249;0.003903585;0.0041314690000000005;0.003883694;0.0035113970000000003
55;0.008298577;0.0077463540000000004;0.007627949;0.007394858;0.007182256;0.007365046;0.007242963;0.006646677;0.0069981340000000005;0.006747842;0.006855251
60;0.01096596;0.012154811;0.010653184;0.011191068;0.010688787;0.010583522;0.010406051;0.009974256;0.011333464;0.010764926000000001;0.010254934
65;0.017200062;0.016240509;0.016858005;0.015096721;0.015623854;0.015289856000000001;0.015822297;0.015908013000000002;0.015933658;0.015886886;0.015948279
70;0.026416577;0.02694508;0.026438035;0.023269506;0.025588705;0.024758065;0.024071824;0.024689779999999998;0.024417705;0.023461769;0.024237353
75;0.043925544999999996;0.043130596;0.043062361;0.042552592;0.039868962;0.042599181;0.041480583;0.038702627999999996;0.0411303;0.037937033999999994;0.038992687
80;0.074367311;0.07579862400000001;0.073374015;0.073090643;0.072344897;0.075772206;0.073582541;0.07088251200000001;0.074314859;0.068683912;0.065667947
85;0.11266046199999999;0.13367541800000002;0.127316789;0.116034777;0.125566916;0.125313121;0.122737251;0.118335557;0.123091303;0.11514105000000001;0.119207494
90;0.193748823;0.189451981;0.194616699;0.181674232;0.18647845899999999;0.190383049;0.187534997;0.17674535;0.201731975;0.191435119;0.200569372
95;0.23882155800000002;0.22377095;0.266511524;0.186736948;0.254878435;0.225186686;0.215858453;0.259607833;0.268057716;0.23759230299999998;0.272051823
