Edad;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
0;0.003933089;0.006019694;0.003996326;0.001359368;0.0017625800000000001;0.002360534;0.0033532;0.002216914;0.002627495;0.0032173609999999997;0.0027479279999999997
1;5.9526000000000006e-05;0.0001215;0.0;0.000244877;0.00019333;7.2895e-05;0.000146365;0.00014416699999999998;7.462e-05;0.000374586;7.6289e-05
5;0.00010268299999999999;0.00015365300000000001;0.000197209;0.000195446;4.728e-05;0.0;4.6763e-05;9.9587e-05;9.489499999999999e-05;0.0;0.000108516
10;0.000106998;0.000106124;0.000209892;0.000206038;5.1853000000000007e-05;0.000102839;0.000200463;9.8187e-05;9.657499999999999e-05;9.4967e-05;0.0
15;0.000473396;0.00033743200000000003;0.00025743;0.000264632;0.000211197;0.00010448200000000001;0.000363875;0.000102799;0.00015276300000000001;0.000199099;0.00033760699999999997
20;0.000428488;0.000252584;0.00053213;0.00031657999999999995;0.000327827;0.000438762;0.00019629199999999998;0.00025819199999999997;0.00031186399999999997;0.000413489;0.000457744
25;0.000653679;0.0006452949999999999;0.000283083;0.000200418;0.000574359;0.000609644;0.0002979;0.00041396;0.000609639;0.00058076;0.000394445
30;0.0008292159999999999;0.000708759;0.0007013859999999999;0.000470001;0.000389121;0.000509362;0.000636541;0.000787264;0.000370809;0.000595782;0.000547029
35;0.001394428;0.001165265;0.001046253;0.0007513999999999999;0.000832582;0.000818521;0.000717745;0.0008162110000000001;0.000918879;0.000647985;0.000705636
40;0.0018549629999999998;0.001376519;0.0016585060000000001;0.001319283;0.001383753;0.001329404;0.001341766;0.0011699269999999999;0.001193073;0.001360797;0.0011434219999999998
45;0.003773131;0.003478548;0.002594464;0.002851778;0.003320945;0.002798079;0.0020508839999999998;0.002315356;0.002183295;0.002017176;0.002154598
50;0.005710387;0.006054779;0.00488699;0.005656476;0.005680894000000001;0.004455508;0.004687387;0.004742149;0.004243762;0.004514175;0.003920555
55;0.008667583999999999;0.008417968;0.008488111;0.00738151;0.007296097;0.008107998;0.007662723;0.0070462699999999994;0.006362231;0.006333528000000001;0.007112452
60;0.011517811;0.012313969999999999;0.011553939;0.012357363;0.010776404;0.010372726;0.01146647;0.010541928;0.01118315;0.009515616;0.010594723
65;0.01786886;0.017287552;0.016675524;0.015659276;0.016595479;0.016561086;0.016069379999999998;0.016173273;0.016611360000000002;0.015758842;0.017532139000000002
70;0.027816128;0.025805890999999997;0.024670242;0.024996833;0.024863296;0.023127576;0.023815461;0.024238929;0.024337796000000002;0.024515929;0.025967611
75;0.043101577;0.043702313;0.046843344;0.040641893000000005;0.040939733;0.042709892000000006;0.040988646000000004;0.037713562000000006;0.037776216;0.034313357;0.04370355
80;0.079126361;0.076764751;0.076921024;0.074532117;0.068770652;0.075941662;0.07025931;0.06859324800000001;0.06846071299999999;0.064856662;0.073296662
85;0.141443692;0.131883521;0.144588818;0.13564058199999998;0.133181982;0.12973400799999998;0.12908713900000002;0.127281082;0.11981258;0.115538736;0.132512888
90;0.22362011899999998;0.21611720199999998;0.228738375;0.19703658500000001;0.214017853;0.23259665200000001;0.21327923799999998;0.208095482;0.21583865800000002;0.215343692;0.220310118
95;0.34114399300000003;0.31243257799999996;0.359518857;0.366069696;0.32463142;0.400823821;0.34852068;0.340501331;0.351506543;0.330560591;0.367499095
