mun_code_borrado
4904.0
6903.0
10902.0
10903.0
10904.0
10905.0
11903.0
14901.0
14902.0
15026.0
15063.0
15902.0
18065.0
18077.0
18106.0
18914.0
18915.0
18916.0
21902.0
29902.0
29903.0
29904.0
36011.0
36012.0
36902.0
38901.0
41904.0
43907.0
46904.0
48915.0
48916.0
50903.0
