edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00013000000000000002,0.0,0.00013000000000000002,7.000000000000001e-05,7.000000000000001e-05,0.0002,7.000000000000001e-05,0.00029,0.00015,0.00015,8e-05,8e-05,0.0,8e-05,0.0,0.00017,0.0,8.999999999999999e-05,0.0002,0.0001,0.00011,0.0,0.00025,0.00026000000000000003,0.00027,0.0,0.0,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017999999999999998
11,0.004524,0.0052840000000000005,0.00528,0.005726000000000001,0.006246000000000001,0.005396,0.005252000000000001,0.004374,0.00432,0.004566000000000001,0.004844,0.003974000000000001,0.004258,0.004346,0.0025960000000000002,0.0028439999999999997,0.0026579999999999998,0.002074,0.002344,0.0018600000000000003,0.0015940000000000001,0.0013119999999999998,0.0014579999999999999,0.0013080000000000001,0.00164,0.001292,0.001276,0.001338,0.00145,0.0014019999999999998,0.001254,0.001474,0.001352,0.001778,0.0015300000000000001,0.001354,0.0012079999999999999,0.001192,0.00117,0.0013980000000000002,0.001422,0.0013199999999999998,0.0014460000000000002,0.00093,0.0008300000000000001,0.000968,0.000772,0.00075,0.001042
12,0.008918,0.010568000000000001,0.010430000000000002,0.011382000000000001,0.012422,0.010591999999999999,0.010434,0.008458,0.008490000000000001,0.008982,0.009608,0.007868000000000002,0.008516,0.008612,0.0051920000000000004,0.0055179999999999995,0.0053159999999999995,0.004058,0.004488000000000001,0.0036200000000000004,0.003078,0.0026239999999999996,0.002666,0.002356,0.0030099999999999997,0.002584,0.002552,0.002676,0.0027400000000000002,0.0028039999999999996,0.002508,0.002948,0.002704,0.003556,0.0030600000000000002,0.002518,0.0024159999999999997,0.002384,0.00234,0.0027960000000000003,0.002844,0.0026399999999999996,0.0028920000000000005,0.00186,0.0016600000000000002,0.001936,0.001544,0.0015,0.001904
13,0.013312000000000001,0.015852,0.015580000000000002,0.017038000000000005,0.018598,0.015788,0.015616000000000001,0.012542000000000001,0.01266,0.013398000000000002,0.014372000000000001,0.011762000000000002,0.012774,0.012878,0.007788000000000001,0.008192,0.007974,0.006042,0.006632000000000001,0.005380000000000001,0.004562,0.003935999999999999,0.003874,0.003404,0.004379999999999999,0.0038760000000000005,0.0038280000000000002,0.004014,0.004030000000000001,0.004206,0.003762,0.004422,0.004055999999999999,0.005333999999999999,0.0045899999999999995,0.003682,0.0036239999999999996,0.0035759999999999998,0.0035099999999999997,0.004194000000000001,0.004266,0.003959999999999999,0.004338000000000001,0.00279,0.00249,0.002904,0.002316,0.00225,0.0027660000000000007
14,0.017706,0.021136000000000002,0.020730000000000002,0.022694000000000002,0.024774,0.020984,0.020798,0.016626000000000002,0.016829999999999998,0.017814,0.019136,0.015656000000000003,0.017032,0.017144,0.010384000000000001,0.010865999999999999,0.010631999999999999,0.008026,0.008775999999999999,0.0071400000000000005,0.006046,0.005247999999999999,0.005082,0.004452,0.00575,0.005168,0.005104,0.005352,0.00532,0.005607999999999999,0.005016,0.005896,0.005408,0.007112,0.0061200000000000004,0.0048460000000000005,0.0048319999999999995,0.004768,0.00468,0.005592000000000001,0.005688,0.005279999999999999,0.005784000000000001,0.00372,0.0033200000000000005,0.003872,0.003088,0.003,0.0036280000000000006
15,0.0221,0.026420000000000003,0.02588,0.02835,0.03095,0.02618,0.02598,0.02071,0.021,0.02223,0.023899999999999998,0.01955,0.02129,0.02141,0.01298,0.01354,0.01329,0.01001,0.01092,0.0089,0.00753,0.00656,0.0062900000000000005,0.0055,0.0071200000000000005,0.00646,0.00638,0.006690000000000001,0.00661,0.00701,0.0062699999999999995,0.00737,0.0067599999999999995,0.00889,0.0076500000000000005,0.00601,0.00604,0.00596,0.005849999999999999,0.0069900000000000006,0.00711,0.0066,0.00723,0.0046500000000000005,0.00415,0.00484,0.0038599999999999997,0.00375,0.00449
16,0.03561,0.040394000000000006,0.039888,0.042862000000000004,0.04414799999999999,0.03908,0.038096000000000005,0.03264,0.033682000000000004,0.032998,0.034232,0.030356,0.029882,0.030022,0.022740000000000003,0.022661999999999998,0.021067999999999996,0.017276,0.018158,0.014904,0.012237999999999999,0.011442,0.010862,0.009193999999999999,0.010032,0.00924,0.008996,0.009620000000000002,0.009493999999999999,0.00962,0.008904,0.009856,0.009758,0.012060000000000001,0.010432,0.00929,0.00891,0.009136,0.008368,0.009154,0.009648,0.008706,0.008945999999999999,0.00724,0.006712000000000001,0.007018,0.005503999999999999,0.006352,0.006131999999999999
17,0.049120000000000004,0.054368,0.053896,0.057374,0.057345999999999994,0.051980000000000005,0.05021200000000001,0.04457,0.046363999999999995,0.04376599999999999,0.044564,0.041162000000000004,0.038474,0.038634,0.0325,0.031784,0.028846,0.024542,0.025396000000000002,0.020908000000000003,0.016946000000000003,0.016323999999999998,0.015434000000000002,0.012888,0.012943999999999999,0.01202,0.011612000000000003,0.01255,0.012378,0.012230000000000001,0.011538,0.012341999999999999,0.012756,0.01523,0.013213999999999998,0.01257,0.01178,0.012312,0.010886,0.011318,0.012186,0.010811999999999999,0.010662000000000001,0.009830000000000002,0.009274000000000001,0.009196,0.007148,0.008954,0.007774
18,0.06263,0.068342,0.06790399999999999,0.07188599999999999,0.070544,0.06488,0.062328,0.0565,0.059045999999999994,0.05453399999999999,0.054896,0.051968,0.047066000000000004,0.047245999999999996,0.042260000000000006,0.040906,0.036624000000000004,0.031808,0.032634,0.026912,0.021654,0.021206,0.020006,0.016582,0.015856000000000002,0.0148,0.014228000000000001,0.01548,0.015262000000000001,0.014839999999999999,0.014172,0.014828,0.015754,0.0184,0.015996,0.01585,0.014649999999999998,0.015488,0.013404,0.013482,0.014724000000000001,0.012917999999999999,0.012378,0.012420000000000002,0.011836000000000003,0.011373999999999999,0.008792,0.011556,0.009416
19,0.07614000000000001,0.082316,0.08191200000000001,0.086398,0.083742,0.07778,0.074444,0.06843,0.071728,0.065302,0.06522800000000001,0.062774,0.055658,0.055858000000000005,0.05202,0.050027999999999996,0.044402000000000004,0.039074000000000005,0.039872,0.032916,0.026362000000000003,0.026087999999999997,0.024578,0.020276,0.018768,0.01758,0.016844,0.01841,0.018146000000000002,0.01745,0.016806,0.017314,0.018752,0.02157,0.018778,0.019129999999999998,0.01752,0.018663999999999997,0.015922000000000002,0.015646,0.017262,0.015024,0.014094,0.01501,0.014398000000000001,0.013552,0.010435999999999999,0.014158,0.011058
20,0.08965000000000001,0.09629,0.09592,0.10091,0.09694,0.09068000000000001,0.08656,0.08036,0.08441,0.07607,0.07556,0.07357999999999999,0.06425,0.06447,0.06178,0.05915,0.05218,0.046340000000000006,0.04711,0.03892,0.03107,0.030969999999999998,0.02915,0.023969999999999998,0.02168,0.02036,0.01946,0.02134,0.02103,0.020059999999999998,0.019440000000000002,0.0198,0.02175,0.024739999999999998,0.02156,0.02241,0.020390000000000002,0.02184,0.01844,0.01781,0.0198,0.01713,0.01581,0.0176,0.01696,0.01573,0.01208,0.01676,0.0127
21,0.08921000000000001,0.095972,0.09434000000000001,0.09840399999999999,0.094734,0.08951400000000001,0.08513599999999999,0.079386,0.08372,0.07633799999999999,0.075924,0.07288599999999999,0.065446,0.065858,0.06443,0.062147999999999995,0.056984,0.051942,0.051496,0.0441,0.037856,0.036406,0.034781999999999993,0.029074,0.027238,0.02568,0.024752000000000003,0.02623,0.027284,0.025189999999999997,0.024122,0.02545,0.02597,0.029162,0.026611999999999997,0.026643999999999998,0.025236,0.025206,0.022406000000000002,0.022375999999999997,0.023710000000000002,0.022213999999999998,0.020736,0.021152,0.02134,0.020385999999999998,0.01685,0.020424,0.016649999999999998
