ccaa_code,ccaa_name,año,nivel_formacion,media_total,nivel_formacion_code
01,Andalucía,2025,Primera etapa de Educación Secundaria y similar,31.3,
01,Andalucía,2025,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),8.7,6.0
01,Andalucía,2025,"Segunda etapa de educación secundaria, con orientación general",12.9,5.0
02,Aragón,2014,Analfabetos,0.825,1.0
02,Aragón,2014,Educación primaria,20.525,3.0
02,Aragón,2014,Educación superior,27.5,7.0
02,Aragón,2014,Estudios primarios incompletos,5.55,2.0
02,Aragón,2014,Primera etapa de Educación Secundaria y similar,23.775000000000002,
02,Aragón,2014,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),8.65,6.0
02,Aragón,2014,"Segunda etapa de educación secundaria, con orientación general",13.2,5.0
02,Aragón,2015,Analfabetos,0.9,1.0
02,Aragón,2015,Educación primaria,18.725,3.0
02,Aragón,2015,Educación superior,27.475,7.0
02,Aragón,2015,Estudios primarios incompletos,5.275,2.0
02,Aragón,2015,Primera etapa de Educación Secundaria y similar,25.55,
02,Aragón,2015,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),8.675,6.0
02,Aragón,2015,"Segunda etapa de educación secundaria, con orientación general",13.4,5.0
02,Aragón,2016,Analfabetos,0.775,1.0
02,Aragón,2016,Educación primaria,16.7,3.0
02,Aragón,2016,Educación superior,28.25,7.0
02,Aragón,2016,Estudios primarios incompletos,4.625,2.0
02,Aragón,2016,Primera etapa de Educación Secundaria y similar,25.75,
02,Aragón,2016,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),9.425,6.0
02,Aragón,2016,"Segunda etapa de educación secundaria, con orientación general",14.5,5.0
02,Aragón,2017,Analfabetos,0.8,1.0
02,Aragón,2017,Educación primaria,16.625,3.0
02,Aragón,2017,Educación superior,28.2,7.0
02,Aragón,2017,Estudios primarios incompletos,3.65,2.0
02,Aragón,2017,Primera etapa de Educación Secundaria y similar,26.925,
02,Aragón,2017,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),9.9,6.0
02,Aragón,2017,"Segunda etapa de educación secundaria, con orientación general",13.925,5.0
02,Aragón,2018,Analfabetos,0.725,1.0
02,Aragón,2018,Educación primaria,16.45,3.0
02,Aragón,2018,Educación superior,29.35,7.0
02,Aragón,2018,Estudios primarios incompletos,3.5999999999999996,2.0
02,Aragón,2018,Primera etapa de Educación Secundaria y similar,26.9,
02,Aragón,2018,Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior),9.8,6.0
02,Aragón,2018,"Segunda etapa de educación secundaria, con orientación general",13.2,5.0
02,Aragón,2019,Analfabetos,0.7,1.0
02,Aragón,2019,Educación primaria,15.55,3.0
02,Aragón,2019,Educación superior,30.425,7.0
