Escenario;Valor Final;Valor Promedio
Policies: Buy, Rent, Wage (Coef=0);366721,68724999996;208000,54342771083
Policies: None (Coef=0);366347,6635;207981,79664156627
Policy: Buy (Coef=0);371041,83225;213263,83642771086
Policy: Wage (Coef=0);378378,538;210770,26907228917
Policy: Wage (Coef=0.8);370809,43225;206751,02890361447
